source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
1,4,NCAN,CDH2,0.49985075,0.014,0.2302558,0.55966353,0.6118830079157718,0.07245513,0.8257138,0.0023239528494342983,0.423583577037389
4,4,ARF1,INSR,0.56767255,0.0,0.20897987,0.25319773,0.11501433086756191,0.027071612,0.81862706,0.19438709553697422,0.423583577037389
8,3,CALM3,KCNQ3,0.5122179,0.916,0.23703118,0.13654149,-0.05691462788662177,0.020153364,0.82779074,1.0,0.4239361170204831
6,3,FGF1,FGFR2,0.5537376,0.198,0.20892496,0.019845791,-0.21171116758717123,0.01697116,0.81860757,1.0,0.4239361170204831
1,1,HSPG2,DAG1,0.24010324,0.073,0.054826062,1.0131102,0.5016105302134557,0.10730548,0.6980516,0.003556938905435876,0.4240611049856726
4,4,GNAS,ADORA1,1.3545827,0.0,0.496456,0.3094139,0.23665120390437994,0.025237018,0.8743194,0.0398630157328482,0.4241338671227233
5,3,TF,TFRC,0.66779345,0.31,0.23706658,0.05949137,-0.024563717726368894,0.023954188,0.82780135,0.7421922764840967,0.4242887069388661
6,4,SLC6A8,LIFR,0.4995684,0.014,0.20936257,0.105632395,-0.039783119746150286,0.021822713,0.8187628,0.8237349116650672,0.4242887069388661
8,8,PKM,CD44,0.83391947,0.618,0.5970471,-0.017673038,-0.10925483574965655,0.011787679,0.8841112,1.0,0.42460336792381925
0,5,CALM1,GRM5,1.3171147,0.531,0.49567002,0.0117082,0.04232548401349745,0.008698994,0.8742323,1.0,0.42460336792381925
1,3,ALCAM,CHL1,0.4993484,0.278,0.21851628,0.13908377,0.07219278653453554,0.016881622,0.82191616,0.44888699943004257,0.4249947647286927
0,6,SPP1,ITGAV_ITGB1,0.6572421,0.998,0.2371349,-0.1516181,-0.26026202596422876,0.009665979,0.8278219,1.0,0.4249947647286927
5,6,LGALS1,ITGB1,0.23499803,0.983,0.0548572,-0.087358184,-0.3689910285080451,0.008583208,0.6981114,1.0,0.4252350329062937
8,2,RIMS1,SLC17A7,0.87727547,0.013,0.49537745,0.21444727,0.46686198030812276,0.015526503,0.8741998,0.30235825851133513,0.4255429139638518
6,7,FGF1,CD44,0.833753,0.436,0.6940842,0.0174442,0.23164637591671378,0.020410944,0.8916059,0.8202090316005614,0.4255429139638518
5,4,CALM3,PDE1A,0.68774915,0.001,0.2373282,0.20355788,0.16480627746810236,0.017966274,0.82787997,0.23352806781332608,0.4257014594422686
7,8,CALM1,PTPRA,0.9637407,1.0,0.49532083,-0.33714524,-0.28930462181364247,0.0064574378,0.87419355,1.0,0.4260130074636682
4,1,L1CAM,CNTN1,0.54474056,0.221,0.23733239,0.25530654,0.1627803586595156,0.01984128,0.8278812,0.3395743434291697,0.42605517339893484
6,2,SLC6A8,LIFR,0.49900976,0.154,0.20858036,0.10494344,0.1702698144172905,0.021741182,0.81848496,0.22053594203429527,0.42605517339893484
3,6,ADAM10,TSPAN5,0.23429695,0.44,0.054857567,0.010272673,-0.09028810172543256,0.014674526,0.69811213,1.0,0.42640857384120434
1,5,NFASC,CNTN1_CNTNAP1,0.63740367,0.113,0.23734827,0.26157823,0.32102795242661697,0.017011367,0.827886,0.3193332567231056,0.4264089371314611
4,5,NRXN1,NLGN2,0.60767394,0.0,0.23742676,0.38386732,0.49938305194679283,0.037770834,0.8279096,0.0008930766407971143,0.42694024226735405
5,4,NLGN2,NRXN1,0.60767394,0.0,0.23742676,0.38386732,0.49938305194679283,0.037770834,0.8279096,0.0008930766407971143,0.42694024226735405
5,4,APP,TSPAN15,0.7239665,0.002,0.20838498,0.17648935,0.1162575637327175,0.022573277,0.8184153,0.20852971468649123,0.4271173444945905
7,5,PSAP,LRP1,0.8779481,0.966,0.4952982,-0.08248812,0.10694213299018385,0.010555992,0.87419105,1.0,0.42742447166680936
6,8,C3,CD81,0.8320906,0.0,0.6909922,0.13555753,0.2450626474239761,0.02307887,0.89138997,0.11982678674454078,0.42742447166680936
8,4,HLA-A,APLP2,0.546865,0.006,0.23744547,0.1197889,0.03975917238948001,0.013945754,0.82791513,0.791036630294181,0.42747184221141343
4,4,FAM3C,LIFR,0.49855554,0.0,0.20875677,0.2684995,0.10866318122155305,0.02900138,0.81854767,0.1329019098294234,0.42747184221141343
1,2,FGF2,FGFR3,0.24028227,0.414,0.054893,0.015848974,-0.07264521609439784,0.017317904,0.6981802,1.0,0.42758175813317967
8,6,PKM,CD44,0.8319775,0.581,0.5950264,-0.019219294,-0.2551010946541832,0.011747784,0.8839375,1.0,0.42789530534124576
1,5,CNTN2,NRCAM,0.56524134,0.703,0.23751809,-0.09346406,-0.4095522099415796,0.0061165127,0.82793695,1.0,0.4281812794790412
8,1,CALM3,PDE1A,0.4981829,0.609,0.21818526,0.14345911,0.07841481459795918,0.016517112,0.82180524,1.0,0.4281812794790412
5,1,PTN,NCL,0.83182955,0.37,0.49815005,0.07575372,0.13007472962257371,0.020595184,0.8745064,0.6444735144468449,0.42836638451775877
1,6,CNTN4,APLP1,1.1233579,0.0,0.4944363,0.540557,0.6853503293740009,0.06018352,0.8740952,0.00017068704857138453,0.42836638451775877
5,8,PTN,SDC4,0.4981593,0.001,0.23681064,0.10376639,0.11333239966395892,0.021554437,0.8277244,0.21541951721670324,0.42853636556494545
4,3,C1QB,C1QBP,0.23718011,0.599,0.05491678,-0.0133925695,-0.2632855042384074,0.013057119,0.6982258,1.0,0.4287545858364201
8,5,PSAP,LRP1,0.8766578,1.0,0.49438706,-0.08344893,-0.2353532775539422,0.010536574,0.8740897,1.0,0.4288376605084556
4,5,RIMS1,SLC17A7,0.8316554,0.0,0.6281847,0.22107282,0.14604389556108077,0.01968905,0.8866903,0.1422049103168784,0.4288376605084556
4,2,FAM3C,LIFR,0.4979969,0.024,0.20797682,0.26781052,0.31871611538499384,0.028893027,0.81826955,0.03131713613419017,0.4288915012396889
8,4,TF,TFRC,0.7091402,0.025,0.2376427,0.08174966,0.062023377936670954,0.024012402,0.82797426,0.37036874678522536,0.4288915012396889
7,8,CALM1,GRM3,0.96329975,1.0,0.49389008,-0.31140685,-0.14749236693841794,0.008690332,0.87403435,1.0,0.4293091332049266
4,1,SPP1,S1PR1,0.7299447,0.601,0.237994,0.061049864,-0.25191057022298147,0.022759374,0.82807946,1.0,0.4296026547585158
1,2,SIRPA,CD47,0.49792403,0.211,0.21225247,0.1775215,0.20177013103152364,0.01427033,0.8197777,0.7276041752090303,0.4297804924483571
2,1,CD47,SIRPA,0.49792403,0.211,0.21225247,0.1775215,0.20177013103152364,0.01427033,0.8197777,0.7276041752090303,0.4297804924483571
7,2,APOE,SORL1,0.8309352,0.855,0.6522336,-0.098039135,0.09423950736962994,0.009162633,0.88856393,1.0,0.42978080249876194
6,3,FAM3C,LIFR,0.23516254,0.958,0.054975823,-0.095609725,-0.35945629861938994,0.0076374756,0.69833905,1.0,0.4299270570051265
8,5,APOE,LRP1,0.87519,0.022,0.4933506,0.05259368,0.09900243481960924,0.014890677,0.8739742,0.6069039031717902,0.4302526195802845
1,3,FGF12,FGFR2,0.6142531,0.03,0.23811366,0.40911523,0.45836448479756775,0.025353093,0.8281153,0.03824871670169692,0.4303144469678567
5,8,PTN,PTPRZ1,0.49788135,0.0,0.23659292,0.10840535,0.24272122552168496,0.020882651,0.8276588,0.19143646776645973,0.4303144469678567
3,5,L1CAM,PTPRZ1,0.49732748,0.0,0.22089735,0.30693907,0.3563058383397111,0.027312905,0.82270795,0.013496035970714644,0.4306707112555055
5,0,ADAM10,CD44,0.6116371,0.408,0.23844594,0.015324636,0.23763941350163975,0.020962285,0.82821447,0.8393840151820117,0.4306707112555055
8,1,NCAM1,NCAM2,0.8308547,0.153,0.67323726,0.2120973,0.19689863095167526,0.0196843,0.8901235,0.21852177506616874,0.4307246817233603
0,3,FGF1,CD44,0.49863324,1.0,0.23852375,-0.26436242,-0.6376692622173653,0.007014271,0.82823765,1.0,0.43102717212688335
2,5,GPI,AMFR,0.51069164,0.128,0.20754178,0.12654404,0.2333817670257856,0.018130302,0.81811386,0.22194988802630858,0.43102717212688335
6,3,TIMP3,DDR1,0.23572437,0.995,0.05499026,-0.12158715,-0.4884867868906426,0.0071752677,0.69836664,1.0,0.43109920192687845
5,6,C3,CD81,0.8304783,0.003,0.6310704,0.12014371,0.09597220314535237,0.021077504,0.8869204,0.25922237360044076,0.4311969401385821
0,3,SIRPA,CD47,0.4972545,0.002,0.22835001,0.1955048,0.32524190783614204,0.015352611,0.82511497,0.38342067217771897,0.43120540270008945
3,0,CD47,SIRPA,0.4972545,0.002,0.22835001,0.1955048,0.32524190783614204,0.015352611,0.82511497,0.38342067217771897,0.43120540270008945
8,1,FGF1,CD44,0.5672323,0.875,0.23862873,-0.19540396,-0.5182603395408143,0.0070173577,0.828269,1.0,0.4313836823989832
7,1,NCAM1,PTPRZ1,0.83044934,0.395,0.6888783,0.06595626,0.35808117923934657,0.014758723,0.8912416,0.7084638536437468,0.4316693947175403
5,2,HLA-A,APLP2,0.497135,0.222,0.23438385,0.075722665,0.21703905893592523,0.013765936,0.8269887,0.8251484418621087,0.4317405365192961
7,4,FGF1,CD44,0.5042723,1.0,0.23875216,-0.2721442,-0.5624065404677323,0.0070209876,0.8283057,1.0,0.4317405365192961
6,0,TIMP3,CD44,0.59583986,0.472,0.20748495,0.0040913117,0.20166782595886196,0.015080012,0.8180934,0.9856078477371661,0.4317405365192961
8,1,PTN,PTPRZ1,0.568208,0.172,0.23878966,0.16331857,0.37994766761281207,0.021076545,0.8283169,0.25334729601197215,0.432097587385981
2,5,NPTX1,NPTXR,0.5648521,0.097,0.20731544,0.15166491,0.1799369337313953,0.010103862,0.8180326,0.8322590239927079,0.432097587385981
5,6,CADM3,CADM1,0.23467477,0.186,0.055002075,0.04990857,0.14782280351282312,0.013687168,0.6983893,0.8465704811820457,0.4322709601799247
